id;marca;modelo;matricula;precio;vendido;fechaventa
1;gold;Internal;Global invoice;15636;false;2020-01-21
2;deposit;Orchestrator;Focused bypass;83131;true;2020-01-20
3;Credit Card Account card Soft;indexing;Auto Loan Account compressing radical;14537;true;2020-01-20
4;Wisconsin Berkshire;Lempira Senior calculate;Keyboard customer loyalty Liechtenstein;35349;false;2020-01-21
5;function Avon;deliver Burgs connecting;Lead Liaison;82179;true;2020-01-20
6;white Kiribati Toys;quantifying cross-platform matrices;flexibility;80753;true;2020-01-20
7;USB connect Checking Account;Rubber;Unbranded Metal Hat PCI;75110;true;2020-01-20
8;transmitting Morocco Future;Skyway International Administrator;migration Agent payment;56732;true;2020-01-20
9;Checking Account Senior synergies;sexy West Virginia eyeballs;Chile;66373;false;2020-01-21
10;District virtual Idaho;productize;Security protocol;82664;false;2020-01-20
